Region,County,FIPS,State
4,ANDERSON,48001,Texas
9,ANDREWS,48003,Texas
5,ANGELINA,48005,Texas
11,ARANSAS,48007,Texas
3,ARCHER,48009,Texas
1,ARMSTRONG,48011,Texas
8,ATASCOSA,48013,Texas
6,AUSTIN,48015,Texas
1,BAILEY,48017,Texas
8,BANDERA,48019,Texas
7,BASTROP,48021,Texas
2,BAYLOR,48023,Texas
11,BEE,48025,Texas
7,BELL,48027,Texas
8,BEXAR,48029,Texas
7,BLANCO,48031,Texas
1,BORDEN,48033,Texas
7,BOSQUE,48035,Texas
4,BOWIE,48037,Texas
6,BRAZORIA,48039,Texas
7,BRAZOS,48041,Texas
10,BREWSTER,48043,Texas
1,BRISCOE,48045,Texas
11,BROOKS,48047,Texas
2,BROWN,48049,Texas
7,BURLESON,48051,Texas
7,BURNET,48053,Texas
7,CALDWELL,48055,Texas
8,CALHOUN,48057,Texas
2,CALLAHAN,48059,Texas
11,CAMERON,48061,Texas
4,CAMP,48063,Texas
1,CARSON,48065,Texas
4,CASS,48067,Texas
1,CASTRO,48069,Texas
6,CHAMBERS,48071,Texas
4,CHEROKEE,48073,Texas
1,CHILDRESS,48075,Texas
2,CLAY,48077,Texas
1,COCHRAN,48079,Texas
9,COKE,48081,Texas
2,COLEMAN,48083,Texas
3,COLLIN,48085,Texas
1,COLLINGSWORTH,48087,Texas
6,COLORADO,48089,Texas
8,COMAL,48091,Texas
2,COMANCHE,48093,Texas
9,CONCHO,48095,Texas
3,COOKE,48097,Texas
7,CORYELL,48099,Texas
2,COTTLE,48101,Texas
9,CRANE,48103,Texas
9,CROCKETT,48105,Texas
1,CROSBY,48107,Texas
10,CULBERSON,48109,Texas
1,DALLAM,48111,Texas
3,DALLAS,48113,Texas
9,DAWSON,48115,Texas
8,DE WITT,48123,Texas
1,DEAF SMITH,48117,Texas
4,DELTA,48119,Texas
3,DENTON,48121,Texas
1,DICKENS,48125,Texas
8,DIMMIT,48127,Texas
1,DONLEY,48129,Texas
11,DUVAL,48131,Texas
2,EASTLAND,48133,Texas
9,ECTOR,48135,Texas
8,EDWARDS,48137,Texas
10,EL PASO,48141,Texas
3,ELLIS,48139,Texas
3,ERATH,48143,Texas
7,FALLS,48145,Texas
3,FANNIN,48147,Texas
7,FAYETTE,48149,Texas
2,FISHER,48151,Texas
1,FLOYD,48153,Texas
2,FOARD,48155,Texas
6,FORT BEND,48157,Texas
4,FRANKLIN,48159,Texas
7,FREESTONE,48161,Texas
8,FRIO,48163,Texas
9,GAINES,48165,Texas
6,GALVESTON,48167,Texas
1,GARZA,48169,Texas
8,GILLESPIE,48171,Texas
9,GLASSCOCK,48173,Texas
8,GOLIAD,48175,Texas
8,GONZALES,48177,Texas
1,GRAY,48179,Texas
3,GRAYSON,48181,Texas
4,GREGG,48183,Texas
7,GRIMES,48185,Texas
8,GUADALUPE,48187,Texas
1,HALE,48189,Texas
1,HALL,48191,Texas
7,HAMILTON,48193,Texas
1,HANSFORD,48195,Texas
2,HARDEMAN,48197,Texas
5,HARDIN,48199,Texas
6,HARRIS,48201,Texas
4,HARRISON,48203,Texas
1,HARTLEY,48205,Texas
3,HASKELL,48207,Texas
7,HAYS,48209,Texas
1,HEMPHILL,48211,Texas
4,HENDERSON,48213,Texas
11,HIDALGO,48215,Texas
7,HILL,48217,Texas
1,HOCKLEY,48219,Texas
3,HOOD,48221,Texas
4,HOPKINS,48223,Texas
4,HOUSTON,48225,Texas
9,HOWARD,48227,Texas
10,HUDSPETH,48229,Texas
3,HUNT,48231,Texas
1,HUTCHINSON,48233,Texas
2,IRION,48235,Texas
3,JACK,48237,Texas
8,JACKSON,48239,Texas
5,JASPER,48241,Texas
10,JEFF DAVIS,48243,Texas
5,JEFFERSON,48245,Texas
11,JIM HOGG,48247,Texas
11,JIM WELLS,48249,Texas
3,JOHNSON,48251,Texas
2,JONES,48253,Texas
8,KARNES,48255,Texas
3,KAUFMAN,48257,Texas
8,KENDALL,48259,Texas
11,KENEDY,48261,Texas
2,KENT,48263,Texas
8,KERR,48265,Texas
9,KIMBLE,48267,Texas
8,KINNEY,48271,Texas
11,KLEBERG,48273,Texas
2,KNOX,48275,Texas
8,LA SALLE,48283,Texas
4,LAMAR,48277,Texas
1,LAMB,48279,Texas
7,LAMPASAS,48281,Texas
8,LAVACA,48285,Texas
7,LEE,48287,Texas
7,LEON,48289,Texas
6,LIBERTY,48291,Texas
7,LIMESTONE,48293,Texas
1,LIPSCOMB,48295,Texas
11,LIVE OAK,48297,Texas
7,LLANO,48299,Texas
9,LOVING,48301,Texas
1,LUBBOCK,48303,Texas
1,LYNN,48305,Texas
7,MADISON,48313,Texas
4,MARION,48315,Texas
9,MARTIN,48317,Texas
9,MASON,48319,Texas
6,MATAGORDA,48321,Texas
8,MAVERICK,48323,Texas
9,MCCULLOCH,48307,Texas
7,MCLENNAN,48309,Texas
11,MCMULLEN,48311,Texas
8,MEDINA,48325,Texas
9,MENARD,48327,Texas
9,MIDLAND,48329,Texas
7,MILAM,48331,Texas
7,MILLS,48333,Texas
2,MITCHELL,48335,Texas
2,MONTAGUE,48337,Texas
6,MONTGOMERY,48339,Texas
1,MOORE,48341,Texas
4,MORRIS,48343,Texas
1,MOTLEY,48345,Texas
4,NACOGDOCHES,48347,Texas
3,NAVARRO,48349,Texas
5,NEWTON,48351,Texas
2,NOLAN,48353,Texas
11,NUECES,48355,Texas
1,OCHILTREE,48357,Texas
1,OLDHAM,48359,Texas
5,ORANGE,48361,Texas
3,PALO PINTO,48363,Texas
4,PANOLA,48365,Texas
3,PARKER,48367,Texas
1,PARMER,48369,Texas
9,PECOS,48371,Texas
5,POLK,48373,Texas
1,POTTER,48375,Texas
10,PRESIDIO,48377,Texas
4,RAINS,48379,Texas
1,RANDALL,48381,Texas
9,REAGAN,48383,Texas
8,REAL,48385,Texas
4,RED RIVER,48387,Texas
9,REEVES,48389,Texas
11,REFUGIO,48391,Texas
1,ROBERTS,48393,Texas
6,ROBERTSON,48395,Texas
3,ROCKWALL,48397,Texas
2,RUNNELS,48399,Texas
4,RUSK,48401,Texas
5,SABINE,48403,Texas
5,SAN AUGUSTINE,48405,Texas
5,SAN JACINTO,48407,Texas
11,SAN PATRICIO,48409,Texas
7,SAN SABA,48411,Texas
9,SCHLEICHER,48413,Texas
2,SCURRY,48415,Texas
2,SHACKELFORD,48417,Texas
5,SHELBY,48419,Texas
1,SHERMAN,48421,Texas
4,SMITH,48423,Texas
3,SOMERVELL,48425,Texas
11,STARR,48427,Texas
2,STEPHENS,48429,Texas
9,STERLING,48431,Texas
2,STONEWALL,48433,Texas
9,SUTTON,48435,Texas
1,SWISHER,48437,Texas
3,TARRANT,48439,Texas
2,TAYLOR,48441,Texas
9,TERRELL,48443,Texas
1,TERRY,48445,Texas
2,THROCKMORTON,48447,Texas
4,TITUS,48449,Texas
9,TOM GREEN,48451,Texas
7,TRAVIS,48453,Texas
5,TRINITY,48455,Texas
5,TYLER,48457,Texas
4,UPSHUR,48459,Texas
9,UPTON,48461,Texas
8,UVALDE,48463,Texas
8,VAL VERDE,48465,Texas
4,VAN ZANDT,48467,Texas
8,VICTORIA,48469,Texas
6,WALKER,48471,Texas
6,WALLER,48473,Texas
9,WARD,48475,Texas
7,WASHINGTON,48477,Texas
11,WEBB,48479,Texas
6,WHARTON,48481,Texas
1,WHEELER,48483,Texas
2,WICHITA,48485,Texas
2,WILBARGER,48487,Texas
11,WILLACY,48489,Texas
7,WILLIAMSON,48491,Texas
8,WILSON,48493,Texas
9,WINKLER,48495,Texas
3,WISE,48497,Texas
4,WOOD,48499,Texas
1,YOAKUM,48501,Texas
2,YOUNG,48503,Texas
11,ZAPATA,48505,Texas
8,ZAVALA,48507,Texas
1,King,48269,Texas
